X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8570045.33925007,4710834.99405282,ATE 0814,2511,Red Light,Rhode Island Ave ne/b @ Montana Ave NE,30,,Live,Active,38.924307,-76.986027,401211.84486448,139602.80842371,5.0,5C,5C06,127774,{39A63775-D011-6356-E063-782F520A029D}
-8571065.37539656,4701528.17318057,ATE 0815,1830,Speed,2600 BLK MLK JR AVE SE S/B,25,,Live,Active,38.859227,-76.995188,400417.65005738,132379.19870129,8.0,8C,8C01,127775,{39A63775-D012-6356-E063-782F520A029D}
-8571151.07582342,4700908.50508234,ATE 0816,1831,Speed,2700 BLK MLK JR AVE SE N/B,25,,Live,Active,38.8549,-76.99596,400350.85263857,131898.00543217,8.0,8C,8C03,127776,{39A63775-D013-6356-E063-782F520A029D}
-8572494.70196781,4698212.84951985,ATE 0817,2805,Red Light,S Capitol St SW/B @ MLK Jr Ave SE,35,,Live,Active,38.83604,-77.00803,399303.0082592,129804.43709497,8.0,8D,8D01,127777,{39A63775-D014-6356-E063-782F520A029D}
-8574475.07580269,4707845.31453565,ATE 0818,2212,Red Light,Massachusetts Ave e/b @ 9th St NW,25,,Live,Active,38.90341,-77.02582,397760.5670172,137283.29262155,2.0,2C,2C04,127778,{39A63775-D015-6356-E063-782F520A029D}
-8568513.91709451,4709911.11382963,ATE 0819,2512,Red Light,Bladensburg Rd s/b @ NY Ave NE,25,,Live,Active,38.91785,-76.97227,402404.99102639,138886.29954385,5.0,5C,5C04,127779,{39A63775-D016-6356-E063-782F520A029D}
-8570217.10528367,4697606.92557575,ATE 0820,2803,Red Light,Southern Ave ne/b @ Wheeler Rd SE,30,,Live,Active,38.8318,-76.98757,401079.44273413,129333.8112359,8.0,8E,8E06,127780,{39A63775-D017-6356-E063-782F520A029D}
-8569412.26529635,4699816.43555945,ATE 0821,2804,Red Light,Stanton Rd s/b @ Alabama Ave SE,20,,Live,Active,38.84726,-76.98034,401706.83077576,131050.08746811,8.0,8C,8C08,127781,{39A63775-D018-6356-E063-782F520A029D}
-8572685.05841894,4709725.11751081,ATE 0822,2510,Red Light,RI Ave e/b @ N Capitol St NW,25,,Live,Active,38.91655,-77.00974,399155.49703415,138741.66859039,5.0,5E,5E04,127782,{39A63775-D019-6356-E063-782F520A029D}
-8567829.30223126,4712702.89975408,ATE 0823,1563,Speed,3800 blk Eastern Ave NE se/b,25,,Live,Active,38.93736,-76.96612,402937.52842484,141052.25627526,5.0,5B,5B07,127783,{39A63775-D01A-6356-E063-782F520A029D}
-8567723.54872344,4712598.42647105,ATE 0824,1564,Speed,3800 blk Eastern Ave NE nw/b,25,,Live,Active,38.93663,-76.96517,403019.92283148,140971.25088664,5.0,5B,5B07,127784,{39A63775-D01B-6356-E063-782F520A029D}
-8576573.55944958,4709341.40338219,ATE 0825,2299,One Way,2000 blk S St NW w/b,20,,Idle,Retired,38.913868,-77.044671,396126.0051589,138444.84722879,2.0,2B,2B01,127785,{39A63775-D01C-6356-E063-782F520A029D}
-8570502.12174045,4703246.1923223,ATE 0826,1832,Speed,5100 blk 11Th St SE se/b,25,,Live,Active,38.87125145,-76.99013035,400856.6627111,133713.17357753,8.0,8F,8F01,127786,{39A63775-D01D-6356-E063-782F520A029D}
