Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,4/9/2024,12,95b71a58cf576696669d1b6d1f6f7865c436686c,063c7b212f351d568b3c557076272436ffb8aa93,32,604,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,704,7D,401600,130800,38.845,-76.981,704,7D,401600,130800,38.845,-76.981
Adult,2024,4/9/2024,12,fd556a5dbcbcb42c06925f98f87f5dbd1cd0b13f,c7117238f3cd4b1bf00d6ebec99b0e0b2bb6889e,31,,,BLACK,NOT HISPANIC,MALE,Release Violations,Failure To Appear (OAG),507,5D,401600,137000,38.901,-76.982,507,5D,401600,137000,38.901,-76.982
Adult,2024,4/9/2024,16,776c5164b9e7a3daf2e683b32c58f4a5a7eef931,09ea3a8b5d3349c1d0472b1e7f1083008601d2e7,30,,,BLACK,NOT HISPANIC,MALE,Release Violations,Bench Warrant,307,3D,397500,137600,38.906,-77.029,307,3D,397500,137600,38.906,-77.029
Adult,2024,4/9/2024,19,8d03c497f47217b81d541e4330f5368d63267fab,5944ba938470e32e75a83f5c49ec956c27d0674a,30,302,3D,OTHER,HISPANIC,MALE,Narcotics,Consumption of marijuana in public space prohibited,302,3D,396700,140200,38.93,-77.039,302,3D,396700,140200,38.93,-77.039
Adult,2024,4/9/2024,8,eeaa23c03c857947383d08c0cc586274c38bd13c,a7c9ab87e0a1da451f507ed236c14138ec900168,30,507,5D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,307,3D,398100,137900,38.909,-77.022,306,3D,398000,139900,38.927,-77.023
Adult,2024,4/9/2024,2,8c263cb28d06bf544601f4cafa487cb4363f23d6,15a96558832657d1d7c9b161c54c7f6f202553f4,29,706,7D,BLACK,UNKNOWN,FEMALE,Damage to Property,Destruction Of Property - Misd,706,7D,401100,129400,38.832,-76.988,706,7D,401100,129400,38.832,-76.988
Adult,2024,4/9/2024,12,e760523cd0fd7dcec6bbd18552db90ec61912f0a,39629c20f1ac64897379b97dde45ec1e5bc137c6,29,,,BLACK,NOT HISPANIC,MALE,Property Crimes,Receiving Stolen Property-misd,503,5D,402300,138600,38.915,-76.974,503,5D,402300,138600,38.915,-76.974
Adult,2024,4/9/2024,16,c6ad7596e0343b73eaf928f5fb6ab08d74fcf77d,8a33e9ff68003bdb11845474fb784b9602d2dc0c,28,706,7D,BLACK,NOT HISPANIC,FEMALE,Theft,Theft (2 or more prior convictions),101,1D,398100,136900,38.9,-77.022,107,1D,400300,135200,38.884,-76.996
Adult,2024,4/9/2024,1,cea44addeeaec2713424f2f751daf2695cffdc27,7524be0a10d0b42e2106a4144f8c5c393de24d41,28,102,1D,BLACK,NOT HISPANIC,FEMALE,Traffic Violations,Fail To Obey Officer,703,7D,401300,131800,38.854,-76.985,703,7D,401300,131800,38.854,-76.985
Adult,2024,4/9/2024,12,c96664cccb208c4517badd8ac7223f323bd5c13e,ee080a832ad52b760f1a67897b0ff4d66fd417c4,28,,,WHITE,HISPANIC,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,301,3D,396700,138900,38.918,-77.038,304,3D,397400,139400,38.923,-77.03
